nome,completeness_score,fowlkes_mallows_score,homogeneity_score,v_measure_score,rand_score,adjusted_rand_score,mutual_info_score,adjusted_mutual_info_score,normalized_mutual_info_score,tempo
iris,0.9581872803992655,0.9490647396252797,0.9248349974150413,0.939096331861467,0.9537000305157158,0.8942286713596318,0.9241863220285383,0.9389246498299761,0.9390963318614672,1.548239527719968
micro-mass,1.0029723662480985,0.9999323509765389,1.001417200907399,1.0023373970772116,0.9972958574356903,0.9963757451643004,1.000664636123615,1.0027276767470656,1.0023373970772116,1.981670475725211
monks-problems-1,0.7824396945733717,0.9834347149131788,0.7824689082204789,0.7824543013969251,0.9784155844155847,0.7784202898550727,0.7704944854317127,0.7690547730599444,0.7824543013969251,2.5062196146802154
breast-tissue,0.9436680240774983,0.9648650210034875,0.9381405841382663,0.9435086050287612,0.9922237953541947,0.8880894798588108,0.9394356799404473,0.9066435921086061,0.9435086050287612,2.2786607176095006
GCM,0.9849061991537688,1.00125911466776,0.9953739528529697,0.9914069337586091,1.0052210794189376,1.012662168802231,0.9958623976775433,0.9813728490604364,0.991406933758609,0.9377168517948342
balance-scale,1.1299962296324964,1.0730777937659566,0.9957279613104228,1.0564745465249676,0.9916345849709124,1.0539381470093654,0.9946924558120309,1.0566850717717948,1.0564745465249676,1.736741881905411
servo,0.3863903927231226,0.9700009489386225,0.38537558544774286,0.3868755481376614,1.001709185894645,0.39264669722022993,0.38781144677991053,0.3654440992487045,0.3868755481376614,1.1568560423956464
AP_Breast_Lung,2.037155940801132,1.0010349662796074,1.7096785634727512,1.8734178194537994,0.9982832009080593,173.09328362112825,1.470451088081897,-0.0,1.8734178194537994,0.5496626584455838
AP_Colon_Kidney,29.846340457322253,1.1876979732794737,30.214875112517092,30.030612993699794,1.1881957812025539,39.57083990067168,30.189359154587518,38.68284878397669,30.030612993699794,0.5282361560642224
AP_Breast_Kidney,3.644503346215129,1.0305038429687507,2.5365779521782463,2.5150954549022972,1.0115031538763382,2.068078535623923,2.569470963064589,3.0388136734717626,2.515095454902298,0.5530028540244659
AP_Breast_Ovary,0.14975206333834104,0.851918232464464,1.5708022912430617,0.999264581425106,0.9763576351622208,2.5662299196091185,1.4358025439930406,1.4130339300969326,0.999264581425106,1.3490840914469207
AP_Breast_Colon,1.0882328450415721,1.0080014809386253,0.9386424923921406,0.9357071349133015,0.9971719943027755,0.8521325730492704,0.9083446601835784,0.8561988282887164,0.9357071349133015,0.9736292059827931
AP_Colon_Prostate,2.3390262022510013,1.0410417995381345,1.9373540925764703,2.142289920998501,1.0567946067838014,4.491486868076934,1.9275494805331204,2.189724979935247,2.1422899209985014,0.43788905730364097
AP_Endometrium_Breast,0.8791929797494644,0.9971288468074805,0.7444496395190009,0.7187836335003195,0.9974878436226893,0.7669558759670736,0.8783479182464407,0.5263860029680028,0.7187836335003195,0.8021963089127426
AP_Colon_Omentum,0.9897429578713668,1.001654260002772,1.0368049303082245,1.038191282944344,0.9996074780005115,5.87210543861186,1.0031908328882573,1.0773171391054228,1.038191282944344,0.8201547627449197
AP_Breast_Omentum,0.0,1.0045915107657664,0.0,0.0,1.0024005343704168,-2.111978472245631,0.0,1.1168242315940982,0.0,1.380520249847182
AP_Prostate_Kidney,2.2418926383767688,1.1692842671089854,1.8705358404463235,2.0430613182192654,1.2203898500182073,-27.771636677156565,1.8685307994837719,2.069354761743243,2.0430613182192654,0.7591704499910806
AP_Omentum_Kidney,1.1454459503857155,1.0206071523060278,0.9148212477385385,0.9364861399608614,1.0126686831908307,1.2344219941528654,0.9284612872949827,0.9722337540735518,0.9364861399608614,0.5085997939669723
AP_Breast_Prostate,9.777909946752173,1.0402972358592137,6.233706745485234,7.862017424305464,1.051986637985178,-3.97225168652225,6.279786246768963,15.06308156756703,7.862017424305464,0.8182139621724791
AP_Uterus_Kidney,9.545549778187299,1.0215982432117836,7.124134403418493,8.296764337670473,1.0141339251888992,-2.594511143609237,7.55017040542955,-10.215449383855171,8.296764337670473,0.5447828804743439
AP_Prostate_Uterus,6.093354256248911,1.173484833339042,5.7093680662897786,5.851846005038872,1.1672978516376977,6.988590152470409,5.692083393458633,6.566480286946487,5.851846005038872,0.3728083464011461
AP_Omentum_Lung,5.034188339976792,1.0287307853253487,1.3801144099433709,1.40922820824125,1.00380246752399,0.7954024231870026,1.0396725869350172,0.8867867147277849,1.40922820824125,0.3921741945393829
AP_Lung_Uterus,2.2409118288904932,1.0135749496341984,0.0,0.0,0.9994358114643107,0.8764638333598713,0.0,1.2128967864392615,0.0,0.48017394379242856
AP_Ovary_Kidney,0.11807007862803338,0.8032832091200205,0.3900749173469715,0.20153576074697285,0.987479883237253,0.0,0.5703213953746676,-1.1680238817354711,0.20153576074697285,0.6517703668478816
AP_Lung_Kidney,1.1690146129005219,1.0331003584693725,1.1723830484702913,1.164345814737784,1.037920899727412,1.4170481493740061,1.172989306908798,1.1732433082982887,1.164345814737784,0.6164306836637516
AP_Colon_Lung,1.0594620426450292,1.0001952924509827,1.0755625018141381,1.1431881324268434,1.0006884300608352,1.0586798466298384,1.0917740027171103,1.1662422583384162,1.1431881324268434,0.9452542073111149
AP_Endometrium_Colon,1.0131895936058024,1.001508509218502,1.0047236762623952,1.0068720262304376,1.0000045289653485,1.3704636961362706,1.0129283921441714,0.9851522324936757,1.0068720262304376,0.9451300049288262
AP_Ovary_Lung,1.0028782538359189,0.999498449240925,0.8775259611554502,0.9050020776989,1.00026264327828,0.8915357142857143,1.313173154127213,1.258691440590015,0.9050020776989,0.5423010428988654
